Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-11-29 18:52:29,Class A,219113000,55.425033,7.9021,Under way using engine,0.0,10.1,270.9,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:52:40,Class A,219113000,55.42505,7.901133,Under way using engine,0.0,10.0,270.8,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:52:50,Class A,219113000,55.42505,7.9004,Under way using engine,0.0,10.0,271.2,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:00,Class A,219113000,55.425067,7.899583,Under way using engine,0.0,10.1,271.0,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:00,Class A,219113000,55.425067,7.899583,Under way using engine,0.0,10.1,271.0,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:20,Class A,219113000,55.4251,7.897867,Under way using engine,0.0,9.9,271.9,273.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:29,Class A,219113000,55.4251,7.897233,Under way using engine,0.0,10.0,272.1,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:40,Class A,219113000,55.425117,7.89625,Under way using engine,0.0,10.0,271.9,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:50,Class A,219113000,55.425133,7.895533,Under way using engine,0.0,9.9,271.0,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:53:50,Class A,219113000,55.425133,7.895533,Under way using engine,0.0,9.9,271.0,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:00,Class A,219113000,55.425133,7.894717,Under way using engine,0.0,10.0,271.2,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:20,Class A,219113000,55.42515,7.893,Under way using engine,0.0,10.1,271.6,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:20,Class A,219113000,55.42515,7.893,Under way using engine,0.0,10.1,271.6,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:29,Class A,219113000,55.425167,7.892267,Under way using engine,0.0,10.0,271.6,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:40,Class A,219113000,55.425183,7.891367,Under way using engine,0.0,10.0,271.5,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:40,Class A,219113000,55.425183,7.891367,Under way using engine,0.0,10.0,271.5,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:54:50,Class A,219113000,55.4252,7.89065,Under way using engine,0.0,9.9,271.5,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
2024-11-29 18:55:00,Class A,219113000,55.425217,7.88985,Under way using engine,0.0,9.9,272.4,272.0,9810202,OXAJ2,ESVAGT INNOVATOR,Other,No additional information,18.0,82.0,Galileo,5.6,SOUTH ARNE,30/11/2024 07:00:00,AIS,17.0,65.0,9.0,9.0,37.0
