Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-11-28 23:01:13,Class A,219026490,55.65225,7.667402,Under way using engine,0.0,1.2,340.0,355.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:13,Class A,219026490,55.65225,7.667402,Under way using engine,0.0,1.2,340.0,355.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:23,Class A,219026490,55.652305,7.667373,Under way using engine,0.0,1.2,359.0,356.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:31,Class A,219026490,55.652342,7.667325,Under way using engine,0.0,1.3,312.0,357.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:42,Class A,219026490,55.652402,7.667295,Under way using engine,0.0,1.4,342.0,358.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:42,Class A,219026490,55.652402,7.667295,Under way using engine,0.0,1.4,342.0,358.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:53,Class A,219026490,55.652463,7.66729,Under way using engine,0.0,1.2,357.0,359.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:01:53,Class A,219026490,55.652463,7.66729,Under way using engine,0.0,1.2,357.0,359.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:02,Class A,219026490,55.652512,7.667248,Under way using engine,,1.2,340.0,1.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:02,Class A,219026490,55.652512,7.667248,Under way using engine,,1.2,340.0,1.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:13,Class A,219026490,55.652568,7.667222,Under way using engine,0.0,1.2,335.0,1.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:13,Class A,219026490,55.652568,7.667222,Under way using engine,0.0,1.2,335.0,1.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:23,Class A,219026490,55.652613,7.667203,Under way using engine,0.0,1.0,347.0,2.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
2024-11-28 23:02:31,Class A,219026490,55.652648,7.667177,Under way using engine,0.0,1.0,356.0,2.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,38.0
